JOBID               USER                PARTITION           NAME                TIME_LEFT           EXEC_HOST           TRES_PER_NODE       TRES_ALLOC          
3195353             dmatthe1            bluemoon            GRAD_EVAL           11:00:27            node469             N/A                 cpu=12,mem=12000M,no
3195352             dmatthe1            bluemoon            GRAD_EVAL           11:00:24            node432             N/A                 cpu=12,mem=12000M,no
3195351             dmatthe1            bluemoon            GRAD_EVAL           11:00:14            node255             N/A                 cpu=12,mem=12000M,no
3195350             dmatthe1            bluemoon            GRAD_EVAL           10:59:38            node454             N/A                 cpu=12,mem=12000M,no
3195347             dmatthe1            bluemoon            GRAD_EVAL           10:58:58            node224             N/A                 cpu=12,mem=12000M,no
3195346             dmatthe1            bluemoon            GRAD_EVAL           10:58:46            node227             N/A                 cpu=12,mem=12000M,no
3195345             dmatthe1            bluemoon            GRAD_EVAL           10:58:27            node496             N/A                 cpu=12,mem=12000M,no
3195344             dmatthe1            bluemoon            GRAD_EVAL           10:57:26            node431             N/A                 cpu=12,mem=12000M,no
3195343             dmatthe1            bluemoon            GRAD_EVAL           10:57:02            node411             N/A                 cpu=12,mem=12000M,no
3195342             dmatthe1            bluemoon            GRAD_EVAL           10:56:20            node226             N/A                 cpu=12,mem=12000M,no
3195341             dmatthe1            bluemoon            GRAD_EVAL           10:56:10            node255             N/A                 cpu=12,mem=12000M,no
3195340             dmatthe1            bluemoon            GRAD_EVAL           10:55:35            node523             N/A                 cpu=12,mem=12000M,no
3195339             dmatthe1            bluemoon            GRAD_EVAL           10:55:15            node234             N/A                 cpu=12,mem=12000M,no
3195337             dmatthe1            bluemoon            GRAD_EVAL           10:54:34            node251             N/A                 cpu=12,mem=12000M,no
3195338             dmatthe1            bluemoon            GRAD_EVAL           10:54:34            node229             N/A                 cpu=12,mem=12000M,no
3195336             dmatthe1            bluemoon            GRAD_EVAL           10:54:26            node449             N/A                 cpu=12,mem=12000M,no
3195335             dmatthe1            bluemoon            GRAD_EVAL           10:54:24            node518             N/A                 cpu=12,mem=12000M,no
3195334             dmatthe1            bluemoon            GRAD_EVAL           10:53:53            node219             N/A                 cpu=12,mem=12000M,no
3195333             dmatthe1            bluemoon            GRAD_EVAL           10:53:13            node415             N/A                 cpu=12,mem=12000M,no
3195332             dmatthe1            bluemoon            GRAD_EVAL           10:52:57            node221             N/A                 cpu=12,mem=12000M,no
3195331             dmatthe1            bluemoon            GRAD_EVAL           10:52:53            node515             N/A                 cpu=12,mem=12000M,no
3195330             dmatthe1            bluemoon            GRAD_EVAL           10:52:38            node254             N/A                 cpu=12,mem=12000M,no
3195327             dmatthe1            bluemoon            GRAD_EVAL           10:52:20            node238             N/A                 cpu=12,mem=12000M,no
3195324             dmatthe1            bluemoon            GRAD_EVAL           10:51:18            node437             N/A                 cpu=12,mem=12000M,no
3195325             dmatthe1            bluemoon            GRAD_EVAL           10:51:18            node457             N/A                 cpu=12,mem=12000M,no
3195320             dmatthe1            bluemoon            GRAD_EVAL           10:50:21            node487             N/A                 cpu=12,mem=12000M,no
3195319             dmatthe1            bluemoon            GRAD_EVAL           10:50:11            node402             N/A                 cpu=12,mem=12000M,no
3195318             dmatthe1            bluemoon            GRAD_EVAL           10:49:58            node509             N/A                 cpu=12,mem=12000M,no
3195317             dmatthe1            bluemoon            GRAD_EVAL           10:49:54            node443             N/A                 cpu=12,mem=12000M,no
3195315             dmatthe1            bluemoon            GRAD_EVAL           10:49:32            node417             N/A                 cpu=12,mem=12000M,no
3195311             dmatthe1            bluemoon            GRAD_EVAL           10:49:13            node451             N/A                 cpu=12,mem=12000M,no
3195302             dmatthe1            bluemoon            GRAD_EVAL           10:48:45            node220             N/A                 cpu=12,mem=12000M,no
3195303             dmatthe1            bluemoon            GRAD_EVAL           10:48:45            node465             N/A                 cpu=12,mem=12000M,no
3195301             dmatthe1            bluemoon            GRAD_EVAL           10:48:40            node464             N/A                 cpu=12,mem=12000M,no
3195299             dmatthe1            bluemoon            GRAD_EVAL           10:48:04            node428             N/A                 cpu=12,mem=12000M,no
3195296             dmatthe1            bluemoon            GRAD_EVAL           10:47:55            node439             N/A                 cpu=12,mem=12000M,no
3195294             dmatthe1            bluemoon            GRAD_EVAL           10:47:20            node435             N/A                 cpu=12,mem=12000M,no
3195293             dmatthe1            bluemoon            GRAD_EVAL           10:47:13            node239             N/A                 cpu=12,mem=12000M,no
3195292             dmatthe1            bluemoon            GRAD_EVAL           10:46:52            node254             N/A                 cpu=12,mem=12000M,no
3195289             dmatthe1            bluemoon            GRAD_EVAL           10:44:32            node225             N/A                 cpu=12,mem=12000M,no
3195284             dmatthe1            bluemoon            GRAD_EVAL           10:43:34            node522             N/A                 cpu=12,mem=12000M,no
3195283             dmatthe1            bluemoon            GRAD_EVAL           10:43:28            node223             N/A                 cpu=12,mem=12000M,no
